mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0001,15,0.9322928620610512,0.9165551367107974,0.18442163223783373,566.1595134266697,0.23051574002602138,1.9170122523311395,0.03250378396563051,1.7500000000000002e-06,0.0002,0.0002000076561034602,162.5126987579761,0.006153365291713366
1e-06,0.0001,16,0.9387663885578069,0.9230757754905295,0.17448895643087095,551.2979737783076,0.2184743011603132,1.8858310302932257,0.02953562738489257,1.7500000000000002e-06,0.0002,0.0002000076561034602,147.6724839453863,0.0067717422588342855
1e-06,0.0001,17,0.9403304773561811,0.9243930531950281,0.1701036943577821,566.1162790697674,0.28756668730056845,2.1452508480049213,0.030591009129119964,1.7500000000000002e-06,0.0002,0.0002000076561034602,152.94919067146014,0.006538118937471416
1e-06,0.0001,18,0.939966732194163,0.9241526365773454,0.16790825479987498,559.5362165431725,0.2649859109369572,2.052351481365523,0.028029141925775023,1.7500000000000002e-06,0.0002,0.0002000076561034602,140.1403449839744,0.007135703855405479
1e-06,0.0001,19,0.9371111610823777,0.9212915760890497,0.17626745117819576,554.7216100742073,0.3569961386383511,2.400498659561506,0.030615505172797604,1.7500000000000002e-06,0.0002,0.0002000076561034602,153.0716662014217,0.0065328876650766615
1e-06,0.0001,20,0.9398040828535108,0.9250403856591134,0.16384565235452966,553.3966200553353,0.22456120688002557,1.8901692163129864,0.03470010718251883,1.7500000000000002e-06,0.0002,0.0002000076561034602,173.493894476565,0.005763891594093398
1e-06,0.0001,21,0.9428069639584606,0.9248952617085804,0.17118766739920657,565.0806353084912,0.2329409730155021,1.9155186832632944,0.03200893680443519,1.7500000000000002e-06,0.0002,0.0002000076561034602,160.03855766340047,0.006248494204148229
1e-06,0.0001,22,0.9483064578350436,0.9342758961358503,0.1472264394908941,570.9560219118895,0.2511067916348111,1.9935518904895808,0.032909696839741834,1.7500000000000002e-06,0.0002,0.0002000076561034602,164.54218543873273,0.006077468810406374
1e-06,0.0001,23,0.9381317929619214,0.9202737714849794,0.17506962192072686,562.4653796458159,0.23683683975832537,1.944006353507879,0.032235495913224284,1.7500000000000002e-06,0.0002,0.0002000076561034602,161.17130984500648,0.006204578227735876
1e-06,0.0001,24,0.9503761684018542,0.9371433582735337,0.14135245776258698,562.3800440762976,0.23074176275986247,1.9280501829129157,0.031581920164054686,1.7500000000000002e-06,0.0002,0.0002000076561034602,157.9035561904588,0.006332979599229725
1e-06,0.0001,25,0.9408511292057151,0.9244990628479729,0.1706199950994054,568.4604393916117,0.2443895812612027,1.9827749147232079,0.03231878687577144,1.7500000000000002e-06,0.0002,0.0002000076561034602,161.5877487162468,0.00618858798358551
1e-06,0.0001,26,0.9253481470207747,0.9158997558553281,0.18183376762555986,563.1489993151206,0.23236629192251712,1.919599579062334,0.030803427340864456,1.7500000000000002e-06,0.0002,0.0002000076561034602,154.0112410743438,0.0064930325411590144
1e-06,0.0001,27,0.9423419239996904,0.9260225088602972,0.1657205833053294,572.7204550731368,0.2278991841012612,1.897546377019865,0.03458004325891828,1.7500000000000002e-06,0.0002,0.0002000076561034602,172.89359783822812,0.005783904161307772
1e-06,0.0001,28,0.9422989550204453,0.926285164489477,0.1623218754195426,560.3820990458883,0.31351691522286274,2.2526015501802776,0.03306044631398066,1.7500000000000002e-06,0.0002,0.0002000076561034602,165.29590395719208,0.00604975668519274
1e-06,0.0001,29,0.9363504540944821,0.9194899560335436,0.17787098175328017,564.7792871861406,0.2519063830259256,2.0058358112428287,0.029859515641298566,1.7500000000000002e-06,0.0002,0.0002000076561034602,149.2918632367393,0.006698288696512896
1e-06,0.0005,0,0.7466415094339622,0.6944599550357548,0.7348799174132621,558.5245283018868,0.22913028305629268,1.9061626704487953,0.03152562356589478,1.7500000000000002e-06,0.001,0.0010000015312488276,31.52557529239457,0.03172027760715429
1e-06,0.0005,1,0.7731124513321628,0.7228761661303745,0.6664963924010593,564.9514466753187,0.2327474518388044,1.9295255996408989,0.029321788066008485,1.7500000000000002e-06,0.001,0.0010000015312488276,29.321743167123635,0.03410438439148557
