p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,3.0,47,0.88,0.88,0.1616,30.46755781146987,,,,,,,,
0.01,3.0,48,1.0,1.0,0.14800000000000002,30.483741592255164,,,,,,,,
0.01,3.0,49,0.16,0.16,0.1624,30.441067793465496,,,,,,,,
0.01,3.0,50,0.92,0.92,0.16240000000000002,30.46601745925494,,,,,,,,
0.01,3.0,51,1.0,1.0,0.15200000000000002,30.431709405687034,,,,,,,,
0.01,3.0,52,0.78,0.76,0.17240000000000003,30.480198782840453,,,,,,,,
0.01,3.0,53,1.0,1.0,0.16520000000000004,30.495825470021927,,,,,,,,
0.01,3.0,54,0.96,0.96,0.1628,30.53985872484911,,,,,,,,
0.01,3.0,55,0.92,0.92,0.17559999999999998,30.476082592753645,,,,,,,,
0.01,3.0,56,1.0,1.0,0.15680000000000002,30.52780255024399,,,,,,,,
0.01,3.0,57,0.2,0.2,0.16760000000000003,30.516597298066134,,,,,,,,
0.01,3.0,58,1.0,1.0,0.14400000000000002,30.55481414714454,,,,,,,,
0.01,3.0,59,0.56,0.56,0.1552,30.51684488329408,,,,,,,,
0.01,3.0,60,0.96,0.96,0.17360000000000003,30.443141569860746,,,,,,,,
0.01,3.0,61,0.6,0.6,0.1604,30.44617209329807,,,,,,,,
0.01,3.0,62,0.52,0.52,0.16519999999999999,30.52235996055758,,,,,,,,
0.01,3.0,63,0.56,0.56,0.15600000000000003,30.487042035392403,,,,,,,,
0.01,3.0,64,0.84,0.84,0.152,30.48837969685656,,,,,,,,
0.01,3.0,65,0.62,0.64,0.1616,30.49030287512765,,,,,,,,
0.01,3.0,66,0.96,0.96,0.1564,30.466549928071665,,,,,,,,
0.01,3.0,67,0.4,0.4,0.1568,30.48174212190497,,,,,,,,
0.01,3.0,68,0.8,0.8,0.1648,30.491300958541956,,,,,,,,
0.01,3.0,69,1.0,1.0,0.16279999999999997,30.45575543643513,,,,,,,,
0.01,3.0,70,0.84,0.84,0.16440000000000002,30.504608932137796,,,,,,,,
0.01,3.0,71,0.4,0.4,0.1472,30.496691953948467,,,,,,,,
0.01,3.0,72,0.48,0.48,0.1656,30.501944442565776,,,,,,,,
0.01,3.0,73,0.44,0.44,0.16880000000000003,30.486228048652585,,,,,,,,
0.01,3.0,74,0.96,0.96,0.17119999999999996,30.52088019414858,,,,,,,,
0.01,3.0,75,1.0,1.0,0.16080000000000003,30.413311429018204,,,,,,,,
0.01,3.0,76,0.64,0.64,0.1516,30.41281262622816,,,,,,,,
0.01,3.0,77,1.0,1.0,0.1672,30.41092210631689,,,,,,,,
0.01,3.0,78,0.92,0.92,0.168,30.59206749499116,,,,,,,,
0.01,3.0,79,0.44,0.44,0.15960000000000002,30.47887427411547,,,,,,,,
0.01,3.0,80,0.52,0.52,0.166,30.44587639351771,,,,,,,,
0.01,3.0,81,0.68,0.68,0.1632,30.540602434103793,,,,,,,,
0.01,3.0,82,1.0,1.0,0.15040000000000003,30.387641682906565,,,,,,,,
0.01,3.0,83,0.8,0.8,0.17040000000000002,30.612833597111248,,,,,,,,
0.01,3.0,84,1.0,1.0,0.1552,30.483819432672043,,,,,,,,
0.01,3.0,85,0.68,0.68,0.1516,30.432462601520914,,,,,,,,
0.01,3.0,86,0.68,0.68,0.1628,30.55763331765024,,,,,,,,
0.01,3.0,87,0.92,0.92,0.154,30.471365049885105,,,,,,,,
0.01,3.0,88,1.0,1.0,0.1624,30.43928758984032,,,,,,,,
0.01,3.0,89,0.32,0.32,0.16599999999999998,30.429163171572082,,,,,,,,
0.01,3.0,90,1.0,1.0,0.1612,30.521840129137072,,,,,,,,
0.01,3.0,91,1.0,1.0,0.1548,30.434280583631725,,,,,,,,
0.01,3.0,92,1.0,1.0,0.16720000000000002,30.45132263512481,,,,,,,,
0.01,3.0,93,1.0,1.0,0.1648,30.50926969684589,,,,,,,,
0.01,3.0,94,0.28,0.28,0.16840000000000002,30.481066613227952,,,,,,,,
0.01,3.0,95,0.2,0.2,0.16080000000000003,30.505097714924258,,,,,,,,
0.01,3.0,96,1.0,1.0,0.14679999999999999,30.455306807570743,,,,,,,,
0.01,3.0,97,0.8,0.8,0.1512,30.442804541265943,,,,,,,,
0.01,3.0,98,0.72,0.72,0.1628,30.581692443266444,,,,,,,,
0.01,3.0,99,0.8,0.8,0.166,30.433819202624704,,,,,,,,
0.01,3.0,100,0.92,0.92,0.1616,30.43581864465812,,,,,,,,
