mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.002,4,0.3160910985412325,0.24260307137697898,2.463814279754291,550.8064900267937,0.26029020131682046,1.9964494359534954,0.031120520991301887,1.7500000000000002e-06,0.004,0.0040000003828124815,7.780129503242802,0.12853256486067416
1e-06,0.002,5,0.30681388489752703,0.23798003148975871,2.484493597029663,559.6629357936928,0.2649837948556524,2.0066866391232443,0.03112214295682191,1.7500000000000002e-06,0.004,0.0040000003828124815,7.780534994584,0.12852586624134407
1e-06,0.002,6,0.37844157803424605,0.3055938112713447,2.1389013035359756,558.2301425661915,0.2834443505562376,2.07276047541683,0.03352508196407467,1.7500000000000002e-06,0.004,0.0040000003828124815,8.381269688905006,0.11931366453030194
1e-06,0.002,7,0.29492455418381347,0.22684504077118214,2.6040735318097488,563.9629629629629,0.24641178429010324,1.9257875459796656,0.031469274882730484,1.7500000000000002e-06,0.004,0.0040000003828124815,7.867317967755743,0.12710812046729356
1e-06,0.002,8,0.34142020948860136,0.26985185968975706,2.3264509038859473,569.9463955637708,0.27311967220157385,2.0198482805503675,0.031223167966681273,1.7500000000000002e-06,0.004,0.0040000003828124815,7.805791244631739,0.1281100107164316
1e-06,0.002,9,0.3085680047932894,0.23211627227089798,2.5295000420898566,554.2654284002397,0.29657946844235994,2.1273776313367128,0.03073065880014929,1.7500000000000002e-06,0.004,0.0040000003828124815,7.682663964782408,0.13016318357590984
1e-06,0.002,10,0.3302279784897372,0.24575885949720977,2.4637323607383195,560.5092024539878,0.24453829051344655,1.931572019524742,0.02951739450855586,1.7500000000000002e-06,0.004,0.0040000003828124815,7.379347920912343,0.13551332864603102
1e-06,0.002,11,0.25773039993951763,0.19786364292062222,2.731658639902378,559.4939895667952,0.26410682377172634,1.9963041862480742,0.03241231561179083,1.7500000000000002e-06,0.004,0.0040000003828124815,8.103078127457847,0.1234098924224154
1e-06,0.002,12,0.3537481259370315,0.27887931709924146,2.2742160890406913,554.7631184407796,0.2951109884888865,2.118010097008269,0.03232762264371618,1.7500000000000002e-06,0.004,0.0040000003828124815,8.081904887465528,0.12373320571378295
1e-06,0.002,13,0.2976570820021299,0.23014294731081283,2.5186843906850847,562.9351894112277,0.2507142756367102,1.935245301719739,0.031128312172835845,1.7500000000000002e-06,0.004,0.0040000003828124815,7.782077298439881,0.12850039413004494
1e-06,0.002,14,0.2653200181570586,0.20432495189853908,2.7717538342555796,559.8742623694961,0.22455154109047726,1.85994331622026,0.029814310690172187,1.7500000000000002e-06,0.004,0.0040000003828124815,7.453576959212474,0.13416377203485097
1e-06,0.002,15,0.34846532777567263,0.2793187626059772,2.290728382028346,560.8484274346343,0.2801424191566184,2.069425295535349,0.02970469379924294,1.7500000000000002e-06,0.004,0.0040000003828124815,7.426172739102832,0.1346588660312811
1e-06,0.002,16,0.30548163916977117,0.239892576955848,2.5374725602720223,562.6361286398541,0.23812056714086793,1.9145061654257103,0.030846799123442896,1.7500000000000002e-06,0.004,0.0040000003828124815,7.711699042827062,0.12967311022467054
1e-06,0.002,17,0.3135491606714628,0.25439102056638546,2.457493087597361,554.5971223021583,0.2566865564440377,1.9778062092635311,0.03079277292605136,1.7500000000000002e-06,0.004,0.0040000003828124815,7.6981924947717975,0.12990062286428233
1e-06,0.002,18,0.3186050061050061,0.23836684885817966,2.599660281800056,564.7362637362637,0.24208548601018265,1.9215526462996066,0.031862042067192446,1.7500000000000002e-06,0.004,0.0040000003828124815,7.965509754473973,0.12554124353916357
1e-06,0.002,19,0.3260128739113972,0.2568284045935759,2.3851593007620453,560.4244604316547,0.2867407933808863,2.101733889268716,0.0324371601929048,1.7500000000000002e-06,0.004,0.0040000003828124815,8.109289272141913,0.12331536913294365
1e-06,0.002,20,0.30187523918867204,0.23480088197920837,2.5229504330119297,566.4190585533869,0.2770296619273722,2.0640024471712177,0.031510323454994896,1.7500000000000002e-06,0.004,0.0040000003828124815,7.877580109839727,0.12694253642066047
