p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,76,0.32,0.3481210945916828,0.01648,295.7887511446752,,,,,,,,
0.01,1.3333333333333333,77,1.0,0.31713352007469653,0.018640000000000004,296.4232372995704,,,,,,,,
0.01,1.3333333333333333,78,0.96,0.22058823529411764,0.01508,296.7273995454588,,,,,,,,
0.01,1.3333333333333333,79,1.0,0.06955624355005159,0.00336,299.2468073806547,,,,,,,,
0.01,1.3333333333333333,80,0.48,0.44124542124542127,0.017800000000000003,296.3232168157792,,,,,,,,
0.01,1.3333333333333333,81,1.0,0.4366300366300366,0.015560000000000001,296.6423991611231,,,,,,,,
0.01,1.3333333333333333,82,1.0,0.5226373626373626,0.01492,296.4280297256563,,,,,,,,
0.01,1.3333333333333333,83,1.0,0.2238562091503268,0.00936,296.277458119428,,,,,,,,
0.01,1.3333333333333333,84,0.68,0.3558758888170653,0.016800000000000002,295.1094676790938,,,,,,,,
0.01,1.3333333333333333,85,1.0,0.30954032895209366,0.01644,296.4407306005919,,,,,,,,
0.01,1.3333333333333333,86,1.0,0.37321266968325795,0.016960000000000003,295.4494036325382,,,,,,,,
0.01,1.3333333333333333,87,1.0,0.2125676937441643,0.01632,295.62551287595056,,,,,,,,
0.01,1.3333333333333333,88,0.36,0.3702197802197802,0.014480000000000002,296.4165568732635,,,,,,,,
0.01,1.3333333333333333,89,1.0,0.522051282051282,0.018800000000000004,295.76348181397015,,,,,,,,
0.01,1.3333333333333333,90,1.0,0.5947385947385947,0.0152,295.464674204832,,,,,,,,
0.01,1.3333333333333333,91,1.0,0.4515750915750916,0.01564,296.3832020725275,,,,,,,,
0.01,1.3333333333333333,92,1.0,0.3824068088773971,0.01636,295.45799688008077,,,,,,,,
0.01,1.3333333333333333,93,0.24,0.2665898154133448,0.015880000000000002,295.5235922796924,,,,,,,,
0.01,1.3333333333333333,94,0.76,0.667865467865468,0.01508,296.1711928631224,,,,,,,,
0.01,1.3333333333333333,95,1.0,0.4148351648351649,0.01652,296.5123779162869,,,,,,,,
0.01,1.3333333333333333,96,1.0,0.3992307692307692,0.01668,295.3994595592292,,,,,,,,
0.01,1.3333333333333333,97,0.84,0.47375291375291373,0.016200000000000003,295.22062037072016,,,,,,,,
0.01,1.3333333333333333,98,1.0,0.4785347985347985,0.015960000000000002,296.6626853000915,,,,,,,,
0.01,1.3333333333333333,99,1.0,0.4317216117216118,0.0154,295.00833344383676,,,,,,,,
0.01,1.3333333333333333,100,1.0,0.3703296703296703,0.016,296.18565131588497,,,,,,,,
0.01,1.3333333333333333,101,1.0,0.42913752913752906,0.0146,296.13376615060463,,,,,,,,
0.01,1.3333333333333333,102,1.0,0.5144322344322344,0.01472,295.7658859422343,,,,,,,,
0.01,1.3333333333333333,103,1.0,0.5156043956043955,0.016280000000000003,296.3587829097438,,,,,,,,
0.01,1.3333333333333333,104,1.0,0.4248351648351648,0.01648,296.5005769726594,,,,,,,,
0.01,1.3333333333333333,105,1.0,0.49934065934065935,0.01532,296.85717379561305,,,,,,,,
0.01,1.3333333333333333,106,0.56,0.5333333333333333,0.01652,296.59557168080437,,,,,,,,
0.01,1.3333333333333333,107,1.0,0.23877684407096172,0.01448,296.0611450678727,,,,,,,,
0.01,1.3333333333333333,108,1.0,0.42743589743589744,0.016800000000000002,295.35651520530786,,,,,,,,
0.01,1.3333333333333333,109,0.72,0.5096503496503497,0.01716,296.32810012509185,,,,,,,,
0.01,1.3333333333333333,110,0.68,0.3917000646412411,0.01592,295.0238534429229,,,,,,,,
0.01,1.3333333333333333,111,1.0,0.421978021978022,0.016,296.27744096258397,,,,,,,,
0.01,1.3333333333333333,112,1.0,0.397241973712562,0.0154,296.4701189712218,,,,,,,,
0.01,1.3333333333333333,113,1.0,0.4186446886446887,0.01632,295.46380806397644,,,,,,,,
0.01,1.3333333333333333,114,1.0,0.3347554406377935,0.016120000000000002,296.0448165808526,,,,,,,,
0.01,1.3333333333333333,115,1.0,0.5645021645021645,0.015600000000000001,295.70542258496675,,,,,,,,
0.01,1.3333333333333333,116,0.52,0.4418315018315018,0.01736,294.8761691850425,,,,,,,,
0.01,1.3333333333333333,117,0.96,0.5791541791541791,0.016120000000000002,296.0509794174422,,,,,,,,
0.01,1.3333333333333333,118,1.0,0.5035897435897436,0.011040000000000001,297.00833308042905,,,,,,,,
0.01,1.3333333333333333,119,0.92,0.3735789700495583,0.016880000000000003,296.4457517251587,,,,,,,,
0.01,3.0,0,0.0,0.023859649122807015,0.01576,296.2037684317287,,,,,,,,
0.01,3.0,1,0.04,0.023391812865497075,0.017240000000000002,295.44702758681643,,,,,,,,
0.01,3.0,2,0.0,0.01286549707602339,0.01608,295.21410851599626,,,,,,,,
0.01,3.0,3,0.04,0.023157894736842106,0.01752,295.2544617068597,,,,,,,,
