p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.3333333333333333,18,0.4146153846153846,0.012320000000000003,1.0,591.2516966438179,,,,,,,,
0.02,1.3333333333333333,19,0.29602240896358545,0.01068,1.0,589.7005501859446,,,,,,,,
0.02,1.3333333333333333,20,0.24978967025406654,0.011080000000000001,1.0,594.140102770633,,,,,,,,
0.02,1.3333333333333333,21,0.35312863606981254,0.010920000000000001,1.0,592.6599278284142,,,,,,,,
0.02,1.3333333333333333,22,0.4125899590605473,0.009439999999999999,1.0,591.6442042894975,,,,,,,,
0.02,1.3333333333333333,23,0.2759548947784242,0.01232,0.96,590.3947343015884,,,,,,,,
0.02,1.3333333333333333,24,0.1581920487493243,0.012640000000000002,1.0,592.6777425294475,,,,,,,,
0.02,1.3333333333333333,25,0.14843481252149984,0.0096,1.0,591.1847703707385,,,,,,,,
0.02,1.3333333333333333,26,0.25472455648926234,0.012440000000000001,0.88,594.1252960192393,,,,,,,,
0.02,1.3333333333333333,27,0.38156431803490626,0.011640000000000001,0.88,590.9913327468922,,,,,,,,
0.02,1.3333333333333333,28,0.2610830999066293,0.011160000000000002,0.6,589.3950116227587,,,,,,,,
0.02,1.3333333333333333,29,0.3606119370825253,0.01088,1.0,591.6812356706428,,,,,,,,
0.02,1.3333333333333333,30,0.22091503267973853,0.012,1.0,591.5267504455755,,,,,,,,
0.02,1.3333333333333333,31,0.1975816993464052,0.01244,0.84,592.2567339694592,,,,,,,,
0.02,1.3333333333333333,32,0.3068771098182863,0.01088,0.52,590.6215176535007,,,,,,,,
0.02,1.3333333333333333,33,0.2895216548157724,0.011880000000000002,0.68,591.4305948934447,,,,,,,,
0.02,1.3333333333333333,34,0.21313676347732075,0.012760000000000002,0.28,591.216958049366,,,,,,,,
0.02,1.3333333333333333,35,0.5185880785880785,0.011880000000000002,0.68,591.0271104765941,,,,,,,,
0.02,1.3333333333333333,36,0.20133962356872576,0.012719999999999999,1.0,591.9660144832851,,,,,,,,
0.02,1.3333333333333333,37,0.3237513466925231,0.012120000000000002,1.0,591.5285240160748,,,,,,,,
0.02,1.3333333333333333,38,0.2906486805248415,0.012680000000000002,0.84,590.6023000621191,,,,,,,,
0.02,1.3333333333333333,39,0.0932232542139663,0.00664,1.0,594.9193479374925,,,,,,,,
0.02,1.3333333333333333,40,0.16274509803921566,0.011960000000000002,0.88,589.5215628091347,,,,,,,,
0.02,1.3333333333333333,41,0.12327141382868936,0.011280000000000002,0.92,591.2542820828796,,,,,,,,
0.02,1.3333333333333333,42,0.3473884938590821,0.010920000000000001,1.0,591.0894233395878,,,,,,,,
0.02,1.3333333333333333,43,0.21256769374416437,0.012000000000000002,0.12,592.0083079068582,,,,,,,,
0.02,1.3333333333333333,44,0.21769816698609268,0.01088,1.0,592.0929889182237,,,,,,,,
0.02,1.3333333333333333,45,0.5815351315351315,0.0082,1.0,591.5207341667708,,,,,,,,
0.02,1.3333333333333333,46,0.2250326797385621,0.00888,1.0,591.448876690263,,,,,,,,
0.02,1.3333333333333333,47,0.38542124542124545,0.013519999999999999,0.44,591.045064264666,,,,,,,,
0.02,1.3333333333333333,48,0.31215470803706097,0.01144,0.68,592.7750231767218,,,,,,,,
0.02,1.3333333333333333,49,0.24744164332399626,0.011320000000000002,0.24,591.7070051404895,,,,,,,,
0.02,1.3333333333333333,50,0.22433239962651727,0.01148,0.84,591.7985119838814,,,,,,,,
