p_s,width,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
0.1,4,mixnet_attribution_oracle,9,0.3830266616597822,0.3663210156784312,1.6309361585030473,292.8844911753661,1.8643046324141324,11.728108366543537,0.029204122258466286,0.875,0.0,0.875,0.033376139723961466,29.961523659432604
0.1,4,mixnet_attribution_oracle,10,0.3627488368545496,0.3688795983052084,1.6197278508317647,297.364198001678,1.8686027649964672,11.912959320877217,0.024596234650502563,0.875,0.0,0.875,0.028109982457717213,35.5745508380943
0.1,4,mixnet_attribution_oracle,11,0.38343276732446074,0.3716516397094483,1.6144729920711827,298.3472540920912,1.8599608673539478,12.003132306956157,0.026482148047597135,0.875,0.0,0.875,0.030265312054396726,33.041126362836465
0.1,4,mixnet_attribution_oracle,12,0.37490465293668956,0.37174445211368273,1.6101373700106225,297.405644546148,1.8735172091110144,11.790629602682678,0.026060575021231998,0.875,0.0,0.875,0.029783514309979425,33.575621385449956
0.1,4,mixnet_attribution_oracle,13,0.3783139936986091,0.37043847734933283,1.6172720455123377,299.7012987012987,1.8644471739826258,11.578384379066588,0.02619971355851906,0.875,0.0,0.875,0.02994252978116464,33.39731169371836
0.1,4,mixnet_attribution_oracle,14,0.3779714132844149,0.3708587525303223,1.6189699611860255,298.1213788886341,1.8703490765183233,11.233082884976247,0.02988876870186715,0.875,0.0,0.875,0.03415859280213389,29.275210656146527
0.1,4,mixnet_attribution_oracle,15,0.3765133171912833,0.3737534110232069,1.6056249532166207,295.0481991525424,1.8851362032582983,11.821505873737662,0.027770762923439038,0.875,0.0,0.875,0.031738014769644614,31.507956854202366
0.1,4,mixnet_attribution_oracle,16,0.3755398954307797,0.37076408593024307,1.6148428749386932,295.58877017503977,1.9009204884932842,12.096832855693393,0.031148579659436997,0.875,0.0,0.875,0.03559837675364228,28.091168508060807
0.1,4,mixnet_attribution_oracle,17,0.3828348113632948,0.37214148403152686,1.6148635231490667,293.12415451675935,1.869644041202264,11.57015375737914,0.02824488284433369,0.875,0.0,0.875,0.03227986610780993,30.979062820773464
0.1,4,mixnet_attribution_oracle,18,0.38765060240963856,0.3698364843091921,1.6176804970724756,293.4009789156627,1.873268168012146,11.22682469694845,0.028325314569304025,0.875,0.0,0.875,0.0323717880792046,30.891095590805275
0.1,4,mixnet_attribution_oracle,19,0.38344607433305467,0.3713113644107788,1.6146175845727715,296.4507106483241,1.8998864570748992,11.861954483289322,0.02803392211330489,0.875,0.0,0.875,0.0320387681294913,31.212186309982123
