mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0001,mixnet_attribution_oracle,45,0.9702790592150041,0.9617976731813304,0.08305460574982448,559.6629357936928,0.25730691716307774,2.019994149173419,0.03112214295682191,0.00017500000000000003,177.84081689612518,0.005623006109919574
0.0001,mixnet_attribution_oracle,46,0.9720902164894019,0.9648012865943674,0.07703664920767692,558.2301425661915,0.2757657485199161,2.0895812650237398,0.03352508196407467,0.00017500000000000003,191.57189693756953,0.005219972323633071
0.0001,mixnet_attribution_oracle,47,0.9785855814662399,0.970701129356293,0.06752052820320534,563.9629629629629,0.23873504321090877,1.9361008334190681,0.031469274882730484,0.00017500000000000003,179.82442790131702,0.00556097973824098
0.0001,mixnet_attribution_oracle,48,0.9738909426987061,0.9663918432848292,0.0741110739756676,569.9463955637708,0.2654396415746305,2.0334546728473004,0.031223167966681273,0.00017500000000000003,178.41810266675012,0.005604812432445844
0.0001,mixnet_attribution_oracle,49,0.9701917315757939,0.9645713087448189,0.07733485959895955,554.2654284002397,0.28890173975378275,2.146824067327766,0.03073065880014929,0.00017500000000000003,175.60376457228165,0.00569463873645136
0.0002,mixnet_attribution,0,0.81019465273044,0.7625745078340479,0.5570749322564773,560.5092024539878,0.23718629279755987,1.9424702644435898,0.02951739450855586,0.00035000000000000005,84.33541288158816,0.01185741512173609
0.0002,mixnet_attribution,1,0.7991230059726318,0.7446536282148449,0.6084536549236389,559.4939895667952,0.25675507020787336,2.012133537124215,0.03241231561179083,0.00035000000000000005,92.60661603368807,0.010798364553524167
0.0002,mixnet_attribution,2,0.8580209895052474,0.8222614495383735,0.4087333535586869,554.7631184407796,0.287757574027637,2.1385588300437535,0.03232762264371618,0.00035000000000000005,92.36463612490336,0.010826654463811394
0.0002,mixnet_attribution,3,0.8298341700897611,0.7859028876806385,0.5000179205788395,562.9351894112277,0.2433585996623151,1.9470578440878685,0.031128312172835845,0.00035000000000000005,88.93803477953097,0.011243783410313776
0.0002,mixnet_attribution,4,0.7825692237857467,0.7324070785424741,0.6387236334403473,559.8742623694961,0.21719977582688443,1.8684331647680459,0.029814310690172187,0.00035000000000000005,85.18374482906339,0.011739328929559052
0.0002,mixnet_attribution,5,0.8635089048882152,0.8265966223184185,0.4029050742848511,560.8484274346343,0.2727913979906589,2.087638334295512,0.02970469379924294,0.00035000000000000005,84.87055371212267,0.01178264965010076
