entry_assignment,width,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
split,2,41,0.8688861801005637,0.8354360669730005,0.37742613963600513,563.7914063690386,0.2526288043882232,1.992975345708957,0.029402808068892148,0.00017500000000000003,168.0160461079551,0.005951812479609664
split,2,42,0.8900138057984354,0.8631641432538427,0.3112584789389319,567.5899677864703,0.22989717122982256,1.893309872004517,0.03212100950549144,0.00017500000000000003,183.54862574566533,0.005448147573633446
split,2,43,0.9205765102729224,0.8949231562189256,0.242178434531049,567.329346826127,0.259095199406147,2.0171483881801926,0.030185171320734817,0.00017500000000000003,172.4866932613418,0.005797548675159876
split,2,44,0.9065942244715689,0.8815800270140306,0.2727804349106897,550.8064900267937,0.25261293738731183,2.0101199682684774,0.031120520991301887,0.00017500000000000003,177.83154852172504,0.005623299174487217
split,2,45,0.905013990773652,0.8780617340675372,0.27291846978328166,559.6629357936928,0.25730691716307774,2.019994149173419,0.03112214295682191,0.00017500000000000003,177.84081689612518,0.005623006109919574
split,2,46,0.9298483819868748,0.9119045902958306,0.1989743670466394,558.2301425661915,0.2757657485199161,2.0895812650237398,0.03352508196407467,0.00017500000000000003,191.57189693756953,0.005219972323633071
split,2,47,0.8924706599603719,0.8616658814846883,0.31807182066118794,563.9629629629629,0.23873504321090877,1.9361008334190681,0.031469274882730484,0.00017500000000000003,179.82442790131702,0.00556097973824098
split,2,48,0.9226740603820086,0.8991775298495741,0.22894231839467144,569.9463955637708,0.2654396415746305,2.0334546728473004,0.031223167966681273,0.00017500000000000003,178.41810266675012,0.005604812432445844
split,2,49,0.8967944877171959,0.8677124870896292,0.30331072927745745,554.2654284002397,0.28890173975378275,2.146824067327766,0.03073065880014929,0.00017500000000000003,175.60376457228165,0.00569463873645136
split,3,0,0.827766416723472,0.7847263776457158,0.5053554030239222,560.5092024539878,0.26074233575491235,2.0360712469177713,0.03161743594983919,0.00017500000000000003,180.67106257050963,0.0055349206772375885
split,3,1,0.8057004611778937,0.7557837446167192,0.5759657895163836,559.4939895667952,0.2317588735022582,1.9135980380362168,0.03080111977243504,0.00017500000000000003,176.0063986996288,0.005681611619737716
split,3,2,0.8313343328335832,0.78692897979532,0.49823753424955436,554.7631184407796,0.24717402167152613,1.9779835192261999,0.03272913509226805,0.00017500000000000003,187.02362909867452,0.0053469179526635935
split,3,3,0.8195648866575385,0.7709102346720187,0.5398905855034241,562.9351894112277,0.24937090047751553,1.9704554008454784,0.03392934776216735,0.00017500000000000003,193.88198721238481,0.005157776719631858
split,3,4,0.8433953699500681,0.8037501097975596,0.4544819182158184,559.8742623694961,0.27446871731081046,2.097412443896961,0.03145434050375207,0.00017500000000000003,179.73908859286897,0.005563620066334722
split,3,5,0.8491095111784767,0.8087357137754545,0.4420306380156629,560.8484274346343,0.2627451565058436,2.0475832686484305,0.03261267065355815,0.00017500000000000003,186.35811802033226,0.005366012549509096
split,3,6,0.8401885501406523,0.7980407305550642,0.4691724246322422,562.6361286398541,0.2702781934349332,2.0839946485778205,0.030047973927750403,0.00017500000000000003,171.7027081585737,0.005824019962902761
split,3,7,0.8570893285371702,0.8188880315122271,0.41885955066777847,554.5971223021583,0.279747674241662,2.1101340355434024,0.030052323698463685,0.00017500000000000003,171.72756399122105,0.0058231769947608494
